REPORTER_DEA_NO,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY,TRANSACTION_CODE,DRUG_CODE,DRUG_NAME,QUANTITY,TRANSACTION_DATE,Product_Name,year,month
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,6112009,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2009,61
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,6122009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,61
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,6122009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,61
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8072009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,80
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8242009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,82
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,9012009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,90
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,10092009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,1192010,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2010,11
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,2.0,5102010,ENDOCET TABS - 10MG OXYCODONE.HCL &,2010,51
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,6232010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010,62
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,10042010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010,10
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,7202006,OXYCODONE HYDROCHLORIDE - ER - 80MG/,2006,72
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,10162006,LORTAB 10 TAB HYDROCODO.BIT & AC,2006,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,10042006,HYDROCODONE BITARTRATE AND ACETA 10M,2006,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,6.0,3262007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,32
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,2.0,6042007,OXYCODONE.HCL ER 10MG TABS,2007,60
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,11192007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,6.0,1102008,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,9302009,"HYDROCODONE.BIT./ACET.,10MG & 325MG/",2009,93
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,1162006,VICODIN TABLETS 5MG HYDROCODONE.BIT,2006,11
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,11212006,ENDOCET TABS - 10MG OXYCODONE.HCL &,2006,11
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,3162007,ENDOCET TABS - 10MG OXYCODONE.HCL &,2007,31
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,5292007,ENDOCET TABS - 10MG OXYCODONE.HCL &,2007,52
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,2.0,10092008,OXYCODONE HCL/ACETAMINOPHEN 10MG/325,2008,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,11142008,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2008,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,1302009,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2009,13
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,3312009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,33
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,4.0,6032009,OXYCODONE HCL/ACETAMINOPHEN 10MG/325,2009,60
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,9142009,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2009,91
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,9292009,OXYCONTIN - 40MG OXYCODONE.HCL CONTR,2009,92
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,10022009,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2009,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,6172010,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2010,61
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8262010,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2010,82
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,6.0,2012006,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2006,20
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,2.0,7112006,OXYCODONE HCL 40MG TABS,2006,71
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,6.0,8282006,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2006,82
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,11272006,XODOL - HYDROCODONE.BIT 10MG & ACETA,2006,11
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,4.0,5092007,OXYCODO.HCL 5.35MG/TAB,2007,50
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,6.0,8242007,OXYCODONE.HCL ER 10MG TABS,2007,82
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,3.0,12172007,OXYCODONE.HCL ER 40MG TABS,2007,12
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,4.0,1022008,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,1152008,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2008,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,3102008,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2008,31
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,3.0,3052008,OXYCONTIN - 40MG OXYCODONE.HCL CONTR,2008,30
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,3.0,4102008,LORCET HYD.BIT10MG/ACET650MG TAB,2008,41
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,5142008,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2008,51
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8152008,LORTAB 7.5 HYD.BIT/AC TAB,2008,81
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8292008,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2008,82
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,11282008,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2008,11
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,10.0,1082009,OXYCODONE HYDROCHLORIDE 30MG TABLET,2009,10
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,2.0,5052009,OXYCONTIN - 10MG OXYCODONE.HCL CONTR,2009,50
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,6222009,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2009,62
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,6232009,OXYCONTIN 30MG COTROLLED RELEASE OXY,2009,62
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,3.0,8142009,OXYCONTIN 30MG COTROLLED RELEASE OXY,2009,81
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,8272009,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2009,82
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,3.0,10282009,ENDOCET TABS - 10MG OXYCODONE.HCL &,2009,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,11202009,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,2009,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,12082009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,12
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,2042010,HYDROCODONE.BIT & ACETA  10MG & 500M,2010,20
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,3032006,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2006,30
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,2092007,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2007,20
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,3092007,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2007,30
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,5032007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,50
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,5032007,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2007,50
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,6292007,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2007,62
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,8012007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,80
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8162007,HYDROCODONE BITARTRATE/ACETA 7.5MG/3,2007,81
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,10112007,OXYCODONE HCL/ACETAMINOPHEN 10MG/325,2007,10
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,2.0,12202007,PERCOCET TABLETS 10MG OXYCODONE HCL/,2007,12
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,1182008,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2008,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,3052008,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008,30
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,7112008,HYDROCODO.BIT/APAP 7.5MG/750MG USP T,2008,71
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,12052008,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2008,12
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,2.0,12162008,OXYCODONE HYDROCHLORIDE 15MG TABLETS,2008,12
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,1152009,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2009,11
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,7162009,OXYCONTIN - 40MG OXYCODONE.HCL CONTR,2009,71
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,7222009,LORTAB 7.5MG HYDROCODONE.BIT / 500MG,2009,72
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8112009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,81
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,4.0,10152009,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2009,10
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,2.0,12222009,OXYCODONE HYDROCHLORIDE 15MG TABLETS,2009,12
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,4.0,1042010,OXYCODONE HCL/ACETAMINOPHEN 10MG/325,2010,10
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,2.0,2052010,OXYCODONE HCL/ACETAMINOPHEN 10MG/325,2010,20
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,2022010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010,20
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,3192010,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2010,31
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,4.0,4292010,OXYCODONE HYDROCHLORIDE 30MG TABLET,2010,42
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,3.0,7282010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010,72
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,8232010,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2010,82
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,3.0,9172010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010,91
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,5.0,10212010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,12092010,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2010,12
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,7312007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,73
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,9212007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,92
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,11212007,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2007,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,1092008,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008,10
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,2012008,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2008,20
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,2052009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,20
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,2192009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,21
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,7232009,HYDROCODONE BIT & ACETA 7.5MG/500MG,2009,72
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8242009,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2009,82
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,9302009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,93
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,6242010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010,62
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8312010,HYDROCODONE BIT & ACETA 7.5MG/500MG,2010,83
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,5232006,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2006,52
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8142006,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2006,81
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,9292006,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2006,92
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,9132007,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2007,91
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,2092006,LORCET HYD.BIT10MG/ACET650MG TAB,2006,20
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,4132006,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,2006,41
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,3192007,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2007,31
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,4232007,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2007,42
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,6.0,4262007,ENDOCET TABS - 10MG OXYCODONE.HCL &,2007,42
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,5182007,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2007,51
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,6192007,ACET/OXYCOD.HCL;500MG&5.35MG/TAB,2007,61
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,4.0,8062007,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2007,80
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8272007,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2007,82
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,11122007,HYDROCODONE BIT/ACETA 5MG/325MG USP,2007,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,3072008,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008,30
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,4112008,VICODIN HP TABLETS 10MG HYDROCODONE.,2008,41
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,5192008,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2008,51
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,6.0,5232008,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2008,52
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,6062008,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2008,60
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,7082008,OXYCONTIN - 40MG OXYCODONE.HCL CONTR,2008,70
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,8192008,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2008,81
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,8292008,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,2008,82
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,9252008,VICODIN HP TABLETS 10MG HYDROCODONE.,2008,92
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,12092008,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2008,12
