REPORTER_DEA_NO,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY,TRANSACTION_CODE,DRUG_CODE,DRUG_NAME,QUANTITY,TRANSACTION_DATE,Product_Name,year
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,60.0,9232010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,96.0,9032010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,96.0,11242010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,120.0,1252011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,120.0,4252011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,96.0,8222011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,96.0,8282012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,16.0,11112010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,2.0,11092010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,216.0,8082011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,216.0,9262011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,216.0,10052011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,192.0,11232010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,120.0,5232011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,120.0,5042011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,120.0,1162012,HYDROCODONE.BIT. & ACETA  5MG & 500M,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,168.0,5212012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,144.0,3022012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,96.0,5182010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,48.0,7222010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,48.0,6012011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,12.0,6172011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,12.0,6242011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,24.0,8222011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,48.0,5242012,HYDROCODONE.BIT. & ACETA  5MG & 500M,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,24.0,6142012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,12.0,10292012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9143,OXYCODONE,72.0,6172010,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,240.0,5242011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,192.0,9232011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,240.0,11232011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,228.0,1312012,HYDROCODONE.BIT. & ACETA  5MG & 500M,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,228.0,7132012,HYDROCODONE.BIT. & ACETA  5MG & 500M,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,12.0,10212011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9143,OXYCODONE,36.0,3242010,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2010
PK0132821,OR,97230,MULTNOMAH,S,9143,OXYCODONE,60.0,6162010,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,144.0,6212010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,96.0,1172011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,144.0,7192011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,288.0,4192010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,288.0,11022010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,288.0,11282011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,288.0,8082012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,24.0,2232012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,6.0,4072010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,24.0,10312011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,132.0,9302010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,200.0,10182012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,300.0,11022012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,48.0,12162011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,72.0,2172012,HYDROCODONE.BIT. & ACETA  5MG & 500M,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,120.0,5132010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,252.0,1092012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,144.0,1042012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,96.0,1302012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,96.0,5242012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9143,OXYCODONE,24.0,9142012,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,48.0,11072012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,144.0,3112011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9143,OXYCODONE,144.0,3112010,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,264.0,4292010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,240.0,4302010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9143,OXYCODONE,24.0,5152009,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2009
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,72.0,6032011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,12.0,10102011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9143,OXYCODONE,24.0,9142012,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,3.0,9072011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,1.0,1302012,HYDROCODONE.BIT. & ACETA  5MG & 500M,2012
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,2122009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,3142009,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,4292009,HYDROCODONE BITARTRATE AND ACETA 7.5,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,7182009,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,7082009,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,7252009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,7292009,HYDROCODONE BITARTRATE AND ACETA 7.5,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,8312009,HYDROCODONE BITARTRATE AND ACETA 7.5,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,2272010,HYDROCODONE BITARTRATE AND ACETA 7.5,2010
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,3052010,HYDROCODONE BIT/ACETA 10MG/325MG USP,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,3152010,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2010
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,5012010,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,2010
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,5292010,HYDROCODONE BIT/ACETA 10MG/325MG USP,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,5122010,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,3.0,9292010,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,3.0,1062011,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,3152011,OXYCODONE HYDROCHLORIDE 30MG TABLET,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,1072009,OXYCONTIN - 80MG OXYCODONE.HCL CONTR,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,2092009,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,3.0,3192009,HYDROCODONE BIT/ACETA 7.5MG/325MG US,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,2162009,OXYCODONE HYDROCHLORIDE 20MG TABS.,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,1312011,OXYCODONE & ASPIRIN 4.5MG OXYCOD.HCL,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,5.0,4262011,OXYCODONE HCI 10MG TABLETS USP,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,5252012,OXYCODONE HCI 10MG TABLETS USP,2012
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,7262012,HYDROCODONE BIT/HOMATROPINE METHYLBR,2012
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,2272009,HYDROCODONE BITARTRATE AND ACETA 7.5,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,4102009,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,2.0,5122009,HYDROCODONE BIT/ACETA 7.5MG/500MG US,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,4.0,1122009,OXYCODONE HYDROCHLORIDE 20MG TABS.,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,2.0,6052009,HYDROCODONE BIT/ACETA 7.5MG/325MG US,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,3.0,8132009,OXYCODONE HCL/ACETAMINOPHEN 7.5MG/32,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,12.0,3012010,OXYCODONE HCL/ACETAMINOPHEN 10MG/325,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,6.0,1072011,OXYCODONE HCL/ACETAMINOPHEN 7.5MG/32,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,12.0,4272011,OXYCODONE HCI 10MG TABLETS USP,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,9302011,OXYCONTIN 30MG OXYCODONE HCL CR TABL,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,11212011,"OXYCODONE HCL 30MG TABLETS, 100 CT",2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,7272012,OXYCODONE HCI 10MG TABLETS USP,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,4.0,10012012,OXYCODONE HYDROCHLORIDE 30MG TABLET,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,3.0,3192010,OXYCODONE HCL 10MG CR TABLETS,2010
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,5.0,1052011,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2011
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,6212012,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2012
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,3162009,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,3.0,4162009,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,5042009,HYDROCODONE BIT/ACETA 10MG/500MG USP,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,4.0,5122009,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,5202009,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,5212009,OXYCONTIN - 80MG OXYCODONE.HCL CONTR,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,9282009,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,12042009,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,12172009,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,2.0,12042009,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,12232009,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,1142010,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2010
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,2042010,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,2092010,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2010
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,5242010,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,5042010,OXYCONTIN 60MG COTROLLED RELEASE OXY,2010
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,2.0,6092010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,6042010,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,8062010,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,10012010,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,10042010,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2010
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,11182010,HYDROCODO.BIT/APAP 7.5MG/750MG USP T,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,11192010,OXYCODONE HYDROCHLORIDE TABLETS USP,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,12222010,OXYCONTIN 80MG OXYCODONE HCL CR TABL,2010
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,2182011,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2011
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,3092011,HYDROCODO.BIT/APAP 7.5MG/750MG USP T,2011
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,3092011,HYDROCODONE BIT/ACETA 10MG/500MG USP,2011
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,4282011,HYDROCODONE BIT/ACETA 10MG/325MG USP,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,4252011,OXYCODONE HCL 5MG USP TABLETS,2011
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,5132011,HYDROCODONE BIT/ACETA 5MG/325MG USP,2011
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,6072011,HYDROCODONE BIT/ACETA 5MG/325MG USP,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,6172011,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,5.0,8012011,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,9122011,OXYCODONE HYDROCHLORIDE 15MG TABLETS,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,10102011,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,4.0,12052011,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,12052011,OXYCODONE HCL 15MG USP TABLETS,2011
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,1102012,"OXYCODONE HCL 15MG TABLETS, USP",2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,1172012,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,2152012,OXYCONTIN 20MG OXYCODONE HCL CR TABL,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,3.0,3212012,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,3082012,OXYCODONE HYDROCHLORIDE 15MG TABLETS,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,5.0,5152012,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,5252012,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2012
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,2.0,6052012,"HYDROCOD.BIT.& APAP,10MG/660MG/TAB",2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,2.0,6112012,OXYCODONE HYDROCHLORIDE 15MG TABLETS,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,8282012,"OXYCODONE HCL 30MG TABLETS, 100 CT",2012
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,8132012,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,9132012,"OXYCODONE HCL 15MG TABLETS, USP",2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,4.0,9142012,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,3.0,10262012,"OXYCODONE HCL 15MG TABLETS, 100 CT",2012
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,2.0,10052012,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,10042012,"OXYCODONE HCL 15MG TABLETS, USP",2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,10312012,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2012
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,11062012,HYDROCODONE BIT/ACETA 10MG/325MG USP,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,11022012,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2012
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,11132012,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2012
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,1172009,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,2182009,ENDOCET - 10MG OXYCODONE.HCL/325MG A,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,4202009,OXYCODONE HYDROCHLORIDE TABLETS 5MG,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,5182009,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,2009
PM0022929,OR,97070,CLACKAMAS,S,9193,HYDROCODONE,1.0,6262009,"HYDROCOD.BIT.& APAP,10MG/660MG/TAB",2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,6172009,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,6052009,OXYCONTIN - 40MG OXYCODONE.HCL CONTR,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,7202009,OXYCONTIN - 10MG OXYCODONE.HCL CONTR,2009
PM0022929,OR,97070,CLACKAMAS,S,9143,OXYCODONE,1.0,8182009,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2009
